name,corruptionRank,corruptionScore,pop2020
Afghanistan,172,16,38928.346
Albania,99,36,2877.797
Algeria,105,35,43851.044
Angola,165,19,32866.272
Argentina,85,40,45195.774
Armenia,105,35,2963.243
Australia,13,77,25499.884
Austria,14,76,9006.398
Azerbaijan,152,25,10139.177
Bahamas,29,65,393.244
Bahrain,99,36,1701.575
Bangladesh,149,26,164689.383
Barbados,25,68,287.375
Belgium,17,75,11589.623
Benin,85,40,12123.2
Bhutan,25,68,771.608
Bolivia,132,29,11673.021
Bosnia and Herzegovina,88,38,3280.819
Botswana,34,61,2351.627
Brazil,105,35,212559.417
Brunei,31,63,437.479
Bulgaria,77,42,6948.445
Burkina Faso,78,41,20903.273
Burundi,170,17,11890.784
Cambodia,161,20,16718.965
Cameroon,152,25,26545.863
Canada,9,81,37742.154
Cape Verde,45,57,555.987
Central African Republic,149,26,4829.767
Chad,165,19,16425.864
Chile,27,67,19116.201
China,87,39,1439323.776
Colombia,99,36,50882.891
Comoros,144,27,869.601
Costa Rica,48,56,5094.118
Croatia,60,48,4105.267
Cuba,61,47,11326.616
Cyprus,38,59,1207.359
Czech Republic,38,59,10708.981
Denmark,1,88,5792.202
Djibouti,124,31,988
Dominica,45,57,71.986
Dominican Republic,129,30,10847.91
Ecuador,114,34,17643.054
Egypt,105,35,102334.404
El Salvador,105,35,6486.205
Eritrea,157,24,3546.421
Estonia,18,73,1326.535
Ethiopia,114,34,114963.588
Finland,3,85,5540.72
France,21,72,65273.511
Gabon,4,31,2225.734
Gambia,93,37,2416.668
Georgia,41,58,3989.167
Germany,11,80,83783.942
Ghana,78,41,31072.94
Greece,67,45,10423.054
Grenada,53,52,112.523
Guatemala,144,27,17915.568
Guinea,138,28,13132.795
Guinea-Bissau,138,28,1968.001
Guyana,93,37,786.552
Haiti,161,20,11402.528
Honduras,132,29,9904.607
Hong Kong,14,76,7496.981
Hungary,64,46,9660.351
Iceland,14,76,341.243
India,78,41,1380004.385
Indonesia,89,38,273523.615
Iran,138,28,83992.949
Iraq,168,18,40222.493
Ireland,18,73,4937.786
Israel,34,61,8655.535
Ivory Coast,105,35,26378.274
Jamaica,70,44,2961.167
Japan,18,73,126476.461
Jordan,58,49,10203.134
Kazakhstan,124,31,18776.707
Kenya,144,27,53771.296
Kuwait,78,41,4270.571
Kyrgyzstan,132,29,6524.195
Laos,132,29,7275.56
Latvia,41,58,1886.198
Lebanon,138,28,6825.445
Lesotho,78,41,2142.249
Liberia,120,32,5057.681
Libya,170,17,6871.292
Lithuania,38,59,2722.289
Luxembourg,9,81,625.978
Macedonia,93,37,2083.374
Madagascar,152,25,27691.018
Malawi,120,32,19129.952
Malaysia,61,47,32365.999
Maldives,124,31,540.544
Mali,120,32,20250.833
Malta,51,54,441.543
Mauritania,144,27,4649.658
Mauritius,56,51,1271.768
Mexico,138,28,128932.753
Moldova,117,33,4033.963
Mongolia,93,37,3278.29
Montenegro,67,45,628.066
Morocco,73,43,36910.56
Mozambique,158,23,31255.435
Myanmar,132,29,54409.8
Namibia,52,53,2540.905
Netherlands,8,82,17134.872
New Zealand,2,87,4822.233
Nicaragua,152,25,6624.554
Niger,114,34,24206.644
Nigeria,144,27,206139.589
North Korea,176,14,25778.816
Norway,7,84,5421.241
Oman,53,52,5106.626
Pakistan,117,33,220892.34
Panama,93,37,4314.767
Papua New Guinea,138,28,8947.024
Paraguay,132,29,7132.538
Peru,105,35,32971.854
Philippines,99,36,109581.078
Poland,36,60,37846.611
Portugal,30,64,10196.709
Qatar,33,62,2881.053
Republic of the Congo,165,19,5518.087
Romania,61,47,19237.691
Russia,138,28,145934.462
Rwanda,48,56,12952.218
Saint Lucia,50,55,183.627
Saint Vincent and the Grenadines,41,58,110.94
Saudi Arabia,58,49,34813.871
Senegal,67,45,16743.927
Serbia,87,39,8737.371
Sierra Leone,129,30,7976.983
Singapore,3,85,5850.342
Slovakia,57,50,5459.642
Slovenia,36,60,2078.938
Solomon Islands,70,44,686.884
Somalia,180,10,15893.222
South Africa,73,43,59308.69
South Korea,45,57,51269.185
South Sudan,178,13,11193.725
Spain,41,58,46754.778
Sri Lanka,89,38,21413.249
Sudan,172,16,43849.26
Suriname,73,43,586.632
Sweden,3,85,10099.265
Syria,178,13,17500.658
Taiwan,31,63,23816.775
Tajikistan,152,25,9537.645
Tanzania,99,36,59734.218
Thailand,99,36,69799.978
Togo,129,30,8278.724
Trinidad and Tobago,78,41,1399.488
Tunisia,73,43,11818.619
Turkey,78,41,84339.067
Turkmenistan,161,20,6031.2
Uganda,149,26,45741.007
Ukraine,120,32,43733.762
United Arab Emirates,23,70,9890.402
United Kingdom,11,80,67886.011
United States,22,71,331002.651
Uruguay,23,70,3473.73
Uzbekistan,158,23,33469.203
Venezuela,168,18,28435.94
Vietnam,117,33,97338.579
Yemen,176,14,29825.964
Zambia,105,35,18383.955
Zimbabwe,160,22,14862.924
